id,state,district,latitude,longitude,rainfall_24h,soil_moisture,slope,elevation,landslide_history,landslide
389,Sikkim,Gangtok,27.3389,88.6065,100,34,24,155,1,1
390,Sikkim,Gangtok,27.3389,88.6065,176,32,17,432,1,1
391,Nagaland,Kohima,25.6751,94.1086,162,46,16,2321,0,1
392,Mizoram,Aizawl,23.7271,92.7176,219,71,25,340,1,1
393,Nagaland,Kohima,25.6751,94.1086,51,94,45,686,1,1
394,Sikkim,Gangtok,27.3389,88.6065,213,20,19,2572,0,1
395,Meghalaya,Shillong,25.5788,91.8933,165,85,45,2768,0,0
396,Sikkim,Mangan,27.5095,88.5362,26,88,26,1811,1,0
397,Meghalaya,Shillong,25.5788,91.8933,50,93,45,2318,1,1
398,Sikkim,Mangan,27.5095,88.5362,39,43,8,1205,1,0
399,Sikkim,Mangan,27.5095,88.5362,43,34,22,925,1,1
400,Nagaland,Kohima,25.6751,94.1086,84,66,37,823,1,0
401,Sikkim,Gangtok,27.3389,88.6065,120,76,46,1700,0,1
402,Sikkim,Gangtok,27.3389,88.6065,68,21,17,708,1,0
403,Meghalaya,Tura,25.514,90.202,176,57,10,2116,1,1
404,Meghalaya,Shillong,25.5788,91.8933,127,81,41,1778,0,0
405,Meghalaya,Tura,25.514,90.202,186,39,25,1471,1,1
406,Nagaland,Kohima,25.6751,94.1086,79,73,31,1250,0,0
407,Sikkim,Gangtok,27.3389,88.6065,219,30,38,1204,1,1
408,Meghalaya,Tura,25.514,90.202,63,57,26,2533,1,1
409,Sikkim,Mangan,27.5095,88.5362,186,41,37,2531,0,0
410,Meghalaya,Tura,25.514,90.202,138,85,39,1286,1,1
411,Meghalaya,Tura,25.514,90.202,216,94,41,788,1,1
412,Sikkim,Mangan,27.5095,88.5362,186,33,38,1779,0,1
413,Mizoram,Aizawl,23.7271,92.7176,198,52,49,1912,1,0
414,Meghalaya,Tura,25.514,90.202,51,67,32,566,0,0
415,Sikkim,Mangan,27.5095,88.5362,114,63,31,2667,1,1
416,Nagaland,Kohima,25.6751,94.1086,171,58,14,2796,1,1
417,Mizoram,Aizawl,23.7271,92.7176,128,93,6,1796,0,1
418,Meghalaya,Tura,25.514,90.202,32,74,30,1188,1,1
419,Sikkim,Mangan,27.5095,88.5362,227,20,16,438,0,0
420,Sikkim,Gangtok,27.3389,88.6065,147,32,19,2411,0,1
421,Meghalaya,Tura,25.514,90.202,229,78,9,2179,1,0
422,Meghalaya,Shillong,25.5788,91.8933,239,61,40,1530,0,1
423,Nagaland,Kohima,25.6751,94.1086,222,55,43,2809,1,1
424,Sikkim,Mangan,27.5095,88.5362,133,89,34,902,0,1
425,Meghalaya,Tura,25.514,90.202,200,36,47,1939,1,1
426,Sikkim,Gangtok,27.3389,88.6065,20,74,22,2147,0,1
427,Sikkim,Mangan,27.5095,88.5362,104,79,23,1189,1,1
428,Sikkim,Mangan,27.5095,88.5362,18,94,20,2014,1,1
429,Mizoram,Aizawl,23.7271,92.7176,34,33,26,476,0,0
430,Meghalaya,Tura,25.514,90.202,40,47,44,767,1,0
431,Nagaland,Kohima,25.6751,94.1086,169,51,35,1068,1,1
432,Nagaland,Kohima,25.6751,94.1086,58,40,26,643,0,0
433,Nagaland,Kohima,25.6751,94.1086,30,39,22,2368,0,1
434,Nagaland,Kohima,25.6751,94.1086,80,57,40,1712,0,0
435,Meghalaya,Shillong,25.5788,91.8933,30,48,47,873,1,0
436,Meghalaya,Shillong,25.5788,91.8933,201,87,35,1515,1,1
437,Nagaland,Kohima,25.6751,94.1086,119,20,34,2022,1,1
438,Mizoram,Aizawl,23.7271,92.7176,96,94,5,2445,1,1
439,Meghalaya,Tura,25.514,90.202,22,79,42,2154,1,0
440,Sikkim,Gangtok,27.3389,88.6065,88,82,8,1685,1,0
441,Meghalaya,Tura,25.514,90.202,156,26,6,2701,1,1
442,Nagaland,Kohima,25.6751,94.1086,82,28,38,1749,0,0
443,Meghalaya,Tura,25.514,90.202,89,65,11,1988,1,0
444,Sikkim,Gangtok,27.3389,88.6065,136,95,46,1920,1,1
445,Sikkim,Mangan,27.5095,88.5362,162,54,21,1695,1,1
446,Mizoram,Aizawl,23.7271,92.7176,53,60,14,2447,0,0
447,Mizoram,Aizawl,23.7271,92.7176,78,32,33,697,0,0
448,Meghalaya,Tura,25.514,90.202,17,49,9,1536,1,0
449,Meghalaya,Shillong,25.5788,91.8933,163,22,46,969,0,1
450,Sikkim,Mangan,27.5095,88.5362,176,22,31,2317,1,1
451,Mizoram,Aizawl,23.7271,92.7176,229,52,6,1507,1,0
452,Sikkim,Mangan,27.5095,88.5362,149,33,29,2311,1,1
453,Meghalaya,Shillong,25.5788,91.8933,217,23,22,2381,1,0
454,Meghalaya,Shillong,25.5788,91.8933,101,45,23,945,0,1
455,Sikkim,Mangan,27.5095,88.5362,68,74,21,436,0,1
456,Sikkim,Gangtok,27.3389,88.6065,83,45,25,632,0,1
457,Mizoram,Aizawl,23.7271,92.7176,242,47,37,1477,1,1
458,Nagaland,Kohima,25.6751,94.1086,35,70,10,298,0,0
459,Nagaland,Kohima,25.6751,94.1086,40,72,45,2589,1,1
460,Sikkim,Gangtok,27.3389,88.6065,163,84,47,1977,0,1
461,Sikkim,Mangan,27.5095,88.5362,155,52,36,971,1,1
462,Meghalaya,Shillong,25.5788,91.8933,113,71,49,455,1,1
463,Nagaland,Kohima,25.6751,94.1086,237,80,46,2455,1,1
464,Sikkim,Mangan,27.5095,88.5362,228,24,12,2377,0,1
465,Sikkim,Gangtok,27.3389,88.6065,21,44,25,2365,1,1
466,Sikkim,Mangan,27.5095,88.5362,14,94,28,2340,0,0
467,Nagaland,Kohima,25.6751,94.1086,193,80,17,2390,0,1
468,Meghalaya,Shillong,25.5788,91.8933,75,49,28,146,1,0
469,Sikkim,Mangan,27.5095,88.5362,222,65,13,2522,1,1
470,Nagaland,Kohima,25.6751,94.1086,103,92,19,2171,1,0
471,Nagaland,Kohima,25.6751,94.1086,235,23,43,1161,1,1
472,Mizoram,Aizawl,23.7271,92.7176,92,55,23,2687,0,0
473,Sikkim,Mangan,27.5095,88.5362,136,75,27,2899,0,0
474,Meghalaya,Tura,25.514,90.202,78,85,45,2890,0,1
475,Meghalaya,Tura,25.514,90.202,246,40,5,2135,0,0
476,Meghalaya,Tura,25.514,90.202,196,55,13,1435,0,1
477,Nagaland,Kohima,25.6751,94.1086,222,93,11,353,0,1
478,Nagaland,Kohima,25.6751,94.1086,32,31,31,2618,0,1
479,Nagaland,Kohima,25.6751,94.1086,79,76,7,1331,1,0
480,Mizoram,Aizawl,23.7271,92.7176,117,62,10,191,1,0
481,Sikkim,Mangan,27.5095,88.5362,197,86,38,541,1,1
482,Meghalaya,Shillong,25.5788,91.8933,156,30,50,1843,0,1
483,Mizoram,Aizawl,23.7271,92.7176,210,92,38,1184,1,1
484,Sikkim,Mangan,27.5095,88.5362,72,51,15,190,1,1
485,Nagaland,Kohima,25.6751,94.1086,60,22,49,2535,0,1
486,Sikkim,Mangan,27.5095,88.5362,183,25,14,1461,0,1
487,Sikkim,Mangan,27.5095,88.5362,80,23,8,1579,1,0
488,Meghalaya,Tura,25.514,90.202,37,54,9,504,0,0
489,Sikkim,Mangan,27.5095,88.5362,128,35,21,2615,1,0
490,Mizoram,Aizawl,23.7271,92.7176,199,63,32,599,0,1
491,Nagaland,Kohima,25.6751,94.1086,164,28,48,1862,1,1
492,Meghalaya,Tura,25.514,90.202,77,28,19,2030,0,0
493,Sikkim,Mangan,27.5095,88.5362,100,22,11,603,0,0
494,Meghalaya,Tura,25.514,90.202,12,63,37,722,1,1
495,Sikkim,Mangan,27.5095,88.5362,107,29,22,1912,0,0
496,Meghalaya,Shillong,25.5788,91.8933,210,41,16,2548,1,1
497,Mizoram,Aizawl,23.7271,92.7176,137,52,29,978,1,1
498,Nagaland,Kohima,25.6751,94.1086,35,59,19,1743,1,0
499,Sikkim,Gangtok,27.3389,88.6065,69,36,22,1493,0,0
500,Nagaland,Kohima,25.6751,94.1086,66,45,29,506,0,1
501,Meghalaya,Shillong,25.5788,91.8933,54,23,15,2562,0,0
502,Nagaland,Kohima,25.6751,94.1086,126,40,47,1149,1,0
503,Sikkim,Mangan,27.5095,88.5362,133,50,22,394,0,0
504,Mizoram,Aizawl,23.7271,92.7176,11,30,10,1936,0,0
505,Sikkim,Gangtok,27.3389,88.6065,66,58,19,2952,0,1
506,Meghalaya,Tura,25.514,90.202,21,64,31,883,0,0
507,Nagaland,Kohima,25.6751,94.1086,183,42,48,1206,1,1
508,Meghalaya,Tura,25.514,90.202,62,92,45,1523,1,0
509,Sikkim,Mangan,27.5095,88.5362,221,41,31,2380,0,1
510,Meghalaya,Tura,25.514,90.202,236,92,5,2938,0,1
511,Meghalaya,Tura,25.514,90.202,150,59,12,1992,0,1
512,Sikkim,Gangtok,27.3389,88.6065,190,54,13,1333,0,0
513,Mizoram,Aizawl,23.7271,92.7176,21,85,47,1957,1,0
514,Sikkim,Mangan,27.5095,88.5362,61,52,45,2023,0,1
515,Meghalaya,Shillong,25.5788,91.8933,230,79,33,952,0,0
516,Mizoram,Aizawl,23.7271,92.7176,243,20,41,241,1,1
517,Mizoram,Aizawl,23.7271,92.7176,69,68,44,745,0,0
518,Meghalaya,Tura,25.514,90.202,241,78,31,479,1,1
519,Mizoram,Aizawl,23.7271,92.7176,13,82,15,1355,0,0
520,Mizoram,Aizawl,23.7271,92.7176,25,74,42,1433,0,0
521,Mizoram,Aizawl,23.7271,92.7176,200,42,32,2069,0,1
522,Sikkim,Gangtok,27.3389,88.6065,198,42,6,1143,0,1
523,Meghalaya,Shillong,25.5788,91.8933,12,21,47,2269,0,0
524,Sikkim,Gangtok,27.3389,88.6065,62,32,40,1940,0,1
525,Mizoram,Aizawl,23.7271,92.7176,31,95,32,1016,1,1
526,Meghalaya,Tura,25.514,90.202,41,75,28,242,0,0
527,Nagaland,Kohima,25.6751,94.1086,61,33,22,2551,1,0
528,Meghalaya,Shillong,25.5788,91.8933,177,36,49,1724,0,1
529,Nagaland,Kohima,25.6751,94.1086,132,64,33,2539,0,1
530,Mizoram,Aizawl,23.7271,92.7176,189,88,33,781,1,1
531,Mizoram,Aizawl,23.7271,92.7176,151,84,33,708,1,1
532,Sikkim,Mangan,27.5095,88.5362,217,64,35,2974,0,1
533,Mizoram,Aizawl,23.7271,92.7176,100,94,30,2159,1,1
534,Meghalaya,Shillong,25.5788,91.8933,184,61,42,138,0,0
535,Mizoram,Aizawl,23.7271,92.7176,125,39,29,2077,1,1
536,Meghalaya,Shillong,25.5788,91.8933,244,24,20,121,1,1
537,Sikkim,Mangan,27.5095,88.5362,68,70,23,2322,1,0
538,Sikkim,Gangtok,27.3389,88.6065,219,24,29,1617,1,0
539,Nagaland,Kohima,25.6751,94.1086,48,62,22,2424,1,1
540,Mizoram,Aizawl,23.7271,92.7176,216,42,35,1891,0,1
541,Meghalaya,Tura,25.514,90.202,22,73,40,2981,0,0
542,Meghalaya,Tura,25.514,90.202,16,45,32,1960,1,0
543,Sikkim,Mangan,27.5095,88.5362,45,80,43,204,1,0
544,Meghalaya,Tura,25.514,90.202,240,48,49,262,1,1
545,Meghalaya,Shillong,25.5788,91.8933,218,39,37,2540,0,1
546,Mizoram,Aizawl,23.7271,92.7176,185,55,28,2246,1,1
547,Mizoram,Aizawl,23.7271,92.7176,48,41,46,1610,1,0
548,Sikkim,Mangan,27.5095,88.5362,238,94,36,2282,0,1
549,Sikkim,Gangtok,27.3389,88.6065,182,87,29,1094,1,1
550,Meghalaya,Shillong,25.5788,91.8933,53,94,9,500,0,1
551,Meghalaya,Tura,25.514,90.202,63,73,42,742,1,1
552,Sikkim,Gangtok,27.3389,88.6065,144,31,29,2880,1,0
553,Meghalaya,Tura,25.514,90.202,142,65,25,1939,1,0
554,Sikkim,Gangtok,27.3389,88.6065,141,46,41,2251,1,1
555,Sikkim,Mangan,27.5095,88.5362,234,64,46,2305,1,1
556,Nagaland,Kohima,25.6751,94.1086,250,95,39,2413,1,1
557,Sikkim,Gangtok,27.3389,88.6065,169,56,10,1803,0,0
558,Sikkim,Gangtok,27.3389,88.6065,125,74,46,2682,1,0
559,Meghalaya,Shillong,25.5788,91.8933,211,45,20,101,0,1
560,Meghalaya,Shillong,25.5788,91.8933,154,88,20,880,0,1
561,Nagaland,Kohima,25.6751,94.1086,170,66,36,1911,0,1
562,Sikkim,Mangan,27.5095,88.5362,111,39,30,2204,0,0
563,Mizoram,Aizawl,23.7271,92.7176,184,69,40,990,1,0
564,Meghalaya,Shillong,25.5788,91.8933,59,60,26,489,1,0
565,Mizoram,Aizawl,23.7271,92.7176,183,74,13,1452,0,1
566,Sikkim,Gangtok,27.3389,88.6065,164,92,50,578,1,1
567,Nagaland,Kohima,25.6751,94.1086,13,29,13,1592,0,0
568,Nagaland,Kohima,25.6751,94.1086,244,53,28,1966,0,1
569,Mizoram,Aizawl,23.7271,92.7176,210,82,5,126,0,1
570,Meghalaya,Tura,25.514,90.202,25,45,21,2756,1,0
571,Sikkim,Gangtok,27.3389,88.6065,44,58,28,2417,1,0
572,Meghalaya,Tura,25.514,90.202,21,61,34,1038,0,0
573,Sikkim,Gangtok,27.3389,88.6065,124,20,15,1211,1,0
574,Sikkim,Mangan,27.5095,88.5362,179,71,5,2057,0,0
575,Sikkim,Gangtok,27.3389,88.6065,246,86,8,738,1,0
576,Sikkim,Mangan,27.5095,88.5362,34,55,16,2277,1,0
577,Sikkim,Mangan,27.5095,88.5362,105,95,7,2618,0,1
578,Meghalaya,Tura,25.514,90.202,126,35,38,1422,0,1
579,Sikkim,Mangan,27.5095,88.5362,14,90,46,2360,0,1
580,Meghalaya,Shillong,25.5788,91.8933,216,64,48,2551,0,1
581,Mizoram,Aizawl,23.7271,92.7176,197,33,16,924,0,0
582,Meghalaya,Tura,25.514,90.202,194,92,50,1472,1,1
583,Meghalaya,Tura,25.514,90.202,200,36,31,2743,1,1
584,Mizoram,Aizawl,23.7271,92.7176,30,56,32,580,1,0
585,Sikkim,Mangan,27.5095,88.5362,119,53,45,293,0,0
586,Sikkim,Gangtok,27.3389,88.6065,141,56,6,1168,1,1
587,Nagaland,Kohima,25.6751,94.1086,87,63,27,320,1,0
588,Meghalaya,Shillong,25.5788,91.8933,79,53,22,1761,1,0
589,Sikkim,Mangan,27.5095,88.5362,27,77,42,2409,0,1
590,Nagaland,Kohima,25.6751,94.1086,220,93,48,2977,0,1
591,Meghalaya,Tura,25.514,90.202,87,38,12,2102,1,0
592,Sikkim,Mangan,27.5095,88.5362,133,35,19,1205,1,1
593,Nagaland,Kohima,25.6751,94.1086,152,37,32,774,1,0
594,Meghalaya,Tura,25.514,90.202,239,78,50,1352,0,1
595,Sikkim,Mangan,27.5095,88.5362,35,66,23,2939,1,1
596,Sikkim,Mangan,27.5095,88.5362,38,78,14,2972,1,1
597,Mizoram,Aizawl,23.7271,92.7176,144,45,8,2072,1,1
598,Sikkim,Gangtok,27.3389,88.6065,116,44,33,1946,0,0
599,Mizoram,Aizawl,23.7271,92.7176,210,28,12,715,0,1
600,Meghalaya,Tura,25.514,90.202,121,59,35,1967,1,1
601,Sikkim,Mangan,27.5095,88.5362,102,35,28,1717,1,0
602,Meghalaya,Tura,25.514,90.202,61,58,37,450,1,0
603,Sikkim,Mangan,27.5095,88.5362,103,45,23,112,0,0
604,Meghalaya,Shillong,25.5788,91.8933,56,86,50,2526,0,1
605,Sikkim,Gangtok,27.3389,88.6065,194,59,33,2375,0,0
606,Meghalaya,Tura,25.514,90.202,93,32,13,597,1,1
607,Sikkim,Gangtok,27.3389,88.6065,224,64,49,1931,0,1
608,Sikkim,Mangan,27.5095,88.5362,136,71,43,2472,1,1
609,Sikkim,Mangan,27.5095,88.5362,41,31,13,2187,1,0
610,Sikkim,Mangan,27.5095,88.5362,111,36,37,272,0,0
611,Sikkim,Gangtok,27.3389,88.6065,22,54,36,1676,0,0
612,Nagaland,Kohima,25.6751,94.1086,135,51,29,1425,1,1
613,Meghalaya,Shillong,25.5788,91.8933,119,46,5,997,1,0
614,Meghalaya,Shillong,25.5788,91.8933,208,70,46,970,1,1
615,Mizoram,Aizawl,23.7271,92.7176,84,53,22,1786,1,0
616,Nagaland,Kohima,25.6751,94.1086,224,74,22,697,1,1
617,Sikkim,Gangtok,27.3389,88.6065,166,35,7,624,0,1
618,Sikkim,Gangtok,27.3389,88.6065,164,73,36,2157,1,1
619,Meghalaya,Tura,25.514,90.202,160,23,50,1824,1,0
620,Meghalaya,Shillong,25.5788,91.8933,142,30,35,479,1,0
621,Nagaland,Kohima,25.6751,94.1086,15,57,8,2141,1,0
622,Meghalaya,Shillong,25.5788,91.8933,22,23,37,2719,0,0
623,Meghalaya,Shillong,25.5788,91.8933,51,58,42,1848,1,1
624,Meghalaya,Shillong,25.5788,91.8933,143,74,20,1647,1,0
625,Mizoram,Aizawl,23.7271,92.7176,220,38,48,2416,1,1
626,Meghalaya,Tura,25.514,90.202,17,80,15,2956,0,0
627,Sikkim,Gangtok,27.3389,88.6065,43,84,47,618,1,1
628,Nagaland,Kohima,25.6751,94.1086,223,42,30,2705,1,0
629,Sikkim,Gangtok,27.3389,88.6065,144,29,43,2516,0,1
630,Sikkim,Gangtok,27.3389,88.6065,171,32,30,184,1,1
631,Sikkim,Gangtok,27.3389,88.6065,158,93,48,1012,0,0
632,Mizoram,Aizawl,23.7271,92.7176,244,53,15,1665,0,1
633,Meghalaya,Tura,25.514,90.202,145,22,5,976,0,1
634,Meghalaya,Tura,25.514,90.202,38,27,31,1578,0,1
635,Meghalaya,Tura,25.514,90.202,243,70,21,631,1,1
636,Sikkim,Gangtok,27.3389,88.6065,231,23,49,914,1,1
637,Nagaland,Kohima,25.6751,94.1086,71,70,11,2687,1,0
638,Meghalaya,Tura,25.514,90.202,151,37,13,873,1,1
639,Meghalaya,Shillong,25.5788,91.8933,197,38,23,720,0,0
640,Sikkim,Mangan,27.5095,88.5362,102,47,30,2086,1,0
641,Mizoram,Aizawl,23.7271,92.7176,34,77,10,2528,1,0
642,Sikkim,Mangan,27.5095,88.5362,185,24,37,1363,0,1
643,Mizoram,Aizawl,23.7271,92.7176,198,39,14,225,1,0
644,Mizoram,Aizawl,23.7271,92.7176,209,23,44,848,0,1
645,Meghalaya,Shillong,25.5788,91.8933,238,51,44,151,1,1
646,Sikkim,Mangan,27.5095,88.5362,192,68,15,1046,0,0
647,Nagaland,Kohima,25.6751,94.1086,237,61,24,471,1,1
648,Sikkim,Gangtok,27.3389,88.6065,18,40,40,482,0,0
649,Meghalaya,Shillong,25.5788,91.8933,164,51,44,361,0,1
650,Mizoram,Aizawl,23.7271,92.7176,234,80,18,1026,1,1
651,Meghalaya,Shillong,25.5788,91.8933,77,20,27,1570,0,1
652,Mizoram,Aizawl,23.7271,92.7176,200,56,50,1125,1,1
653,Meghalaya,Tura,25.514,90.202,234,89,17,235,0,0
654,Sikkim,Mangan,27.5095,88.5362,211,69,32,2259,0,1
655,Sikkim,Gangtok,27.3389,88.6065,100,74,9,1456,0,1
656,Sikkim,Mangan,27.5095,88.5362,149,90,44,238,1,1
657,Meghalaya,Shillong,25.5788,91.8933,132,71,5,1466,0,1
658,Sikkim,Mangan,27.5095,88.5362,209,94,24,2194,0,1
659,Meghalaya,Shillong,25.5788,91.8933,24,25,20,1185,1,1
660,Sikkim,Gangtok,27.3389,88.6065,30,60,25,1615,0,0
661,Nagaland,Kohima,25.6751,94.1086,182,70,14,894,0,0
662,Nagaland,Kohima,25.6751,94.1086,124,93,43,1353,0,1
663,Meghalaya,Tura,25.514,90.202,234,78,31,2036,0,1
664,Sikkim,Gangtok,27.3389,88.6065,69,40,26,2764,1,1
665,Mizoram,Aizawl,23.7271,92.7176,175,84,21,1350,0,0
666,Mizoram,Aizawl,23.7271,92.7176,152,76,48,1986,1,1
667,Sikkim,Mangan,27.5095,88.5362,45,53,40,755,1,1
668,Meghalaya,Shillong,25.5788,91.8933,219,56,21,1628,0,1
669,Sikkim,Gangtok,27.3389,88.6065,106,40,25,1168,1,1
670,Sikkim,Gangtok,27.3389,88.6065,79,40,37,575,1,0
671,Meghalaya,Shillong,25.5788,91.8933,93,75,48,2467,1,1
672,Sikkim,Gangtok,27.3389,88.6065,25,30,13,1358,1,0
673,Sikkim,Mangan,27.5095,88.5362,81,46,20,2451,0,0
674,Meghalaya,Tura,25.514,90.202,65,93,47,2462,1,1
675,Meghalaya,Shillong,25.5788,91.8933,232,83,9,1574,0,0
676,Sikkim,Gangtok,27.3389,88.6065,202,88,20,492,1,1
677,Meghalaya,Shillong,25.5788,91.8933,100,21,43,143,0,0
678,Sikkim,Gangtok,27.3389,88.6065,148,93,47,1525,1,1
679,Nagaland,Kohima,25.6751,94.1086,195,23,31,1739,0,0
680,Sikkim,Mangan,27.5095,88.5362,31,35,19,2595,0,0
681,Sikkim,Gangtok,27.3389,88.6065,231,47,15,399,1,1
682,Meghalaya,Shillong,25.5788,91.8933,240,82,37,2742,1,1
683,Nagaland,Kohima,25.6751,94.1086,28,21,37,1295,0,0
684,Sikkim,Gangtok,27.3389,88.6065,220,74,15,2887,0,1
685,Mizoram,Aizawl,23.7271,92.7176,46,90,31,805,1,0
686,Mizoram,Aizawl,23.7271,92.7176,69,40,30,2912,1,1
687,Nagaland,Kohima,25.6751,94.1086,70,51,12,2936,0,1
688,Meghalaya,Shillong,25.5788,91.8933,183,87,32,1121,1,1
689,Meghalaya,Tura,25.514,90.202,231,80,27,2605,0,1
690,Sikkim,Gangtok,27.3389,88.6065,186,81,23,1226,0,1
691,Sikkim,Gangtok,27.3389,88.6065,194,70,6,839,1,1
692,Nagaland,Kohima,25.6751,94.1086,70,73,47,1591,1,1
693,Sikkim,Gangtok,27.3389,88.6065,229,47,23,1018,1,0
694,Sikkim,Gangtok,27.3389,88.6065,169,57,39,1523,1,1
695,Sikkim,Mangan,27.5095,88.5362,147,88,5,453,0,1
696,Nagaland,Kohima,25.6751,94.1086,240,86,41,1717,1,1
697,Meghalaya,Tura,25.514,90.202,43,78,34,611,1,0
698,Meghalaya,Shillong,25.5788,91.8933,114,25,50,1289,0,0
699,Nagaland,Kohima,25.6751,94.1086,215,70,32,180,1,1
700,Sikkim,Gangtok,27.3389,88.6065,155,45,19,2205,1,0
701,Meghalaya,Tura,25.514,90.202,191,79,48,446,1,0
702,Nagaland,Kohima,25.6751,94.1086,166,66,34,1751,0,0
703,Sikkim,Mangan,27.5095,88.5362,59,91,31,1294,1,0
704,Meghalaya,Shillong,25.5788,91.8933,190,93,12,1810,0,1
705,Meghalaya,Shillong,25.5788,91.8933,198,47,19,1670,1,1
706,Nagaland,Kohima,25.6751,94.1086,130,90,17,659,0,0
707,Nagaland,Kohima,25.6751,94.1086,124,81,46,2000,0,1
708,Meghalaya,Tura,25.514,90.202,62,74,30,236,1,0
709,Nagaland,Kohima,25.6751,94.1086,222,74,47,1916,0,0
710,Meghalaya,Tura,25.514,90.202,191,68,5,361,1,1
711,Meghalaya,Tura,25.514,90.202,80,72,29,1018,1,1
712,Mizoram,Aizawl,23.7271,92.7176,168,75,21,229,0,1
713,Nagaland,Kohima,25.6751,94.1086,59,49,14,2336,1,0
714,Nagaland,Kohima,25.6751,94.1086,249,68,35,482,0,1
715,Meghalaya,Tura,25.514,90.202,19,61,43,2683,1,1
716,Meghalaya,Shillong,25.5788,91.8933,68,82,40,1185,0,1
717,Sikkim,Gangtok,27.3389,88.6065,244,57,32,429,1,1
718,Nagaland,Kohima,25.6751,94.1086,195,91,31,1445,0,1
719,Meghalaya,Shillong,25.5788,91.8933,99,50,45,2589,0,1
720,Mizoram,Aizawl,23.7271,92.7176,137,69,20,854,1,0
721,Meghalaya,Tura,25.514,90.202,61,26,18,2332,0,0
722,Meghalaya,Shillong,25.5788,91.8933,110,77,36,2770,1,1
723,Mizoram,Aizawl,23.7271,92.7176,16,64,42,232,0,0
724,Meghalaya,Tura,25.514,90.202,125,66,32,2675,0,0
725,Nagaland,Kohima,25.6751,94.1086,71,25,39,2008,0,0
726,Meghalaya,Shillong,25.5788,91.8933,121,28,26,2607,0,0
727,Meghalaya,Tura,25.514,90.202,55,56,38,976,1,0
728,Sikkim,Mangan,27.5095,88.5362,181,46,24,1967,0,0
729,Nagaland,Kohima,25.6751,94.1086,29,30,10,2748,0,0
730,Meghalaya,Tura,25.514,90.202,176,51,28,185,0,1
731,Mizoram,Aizawl,23.7271,92.7176,241,45,24,2852,1,1
732,Meghalaya,Tura,25.514,90.202,43,44,8,535,1,1
733,Nagaland,Kohima,25.6751,94.1086,99,48,14,393,0,1
734,Sikkim,Mangan,27.5095,88.5362,170,84,24,176,1,1
735,Sikkim,Gangtok,27.3389,88.6065,111,65,5,162,1,0
736,Meghalaya,Shillong,25.5788,91.8933,213,62,39,1049,0,1
737,Sikkim,Gangtok,27.3389,88.6065,206,64,23,1424,0,1
738,Sikkim,Gangtok,27.3389,88.6065,143,55,5,1222,0,1
739,Mizoram,Aizawl,23.7271,92.7176,225,36,29,2277,1,1
740,Meghalaya,Tura,25.514,90.202,240,56,24,1051,0,1
741,Mizoram,Aizawl,23.7271,92.7176,162,84,48,1590,1,1
742,Meghalaya,Shillong,25.5788,91.8933,38,49,41,2761,1,0
743,Sikkim,Gangtok,27.3389,88.6065,207,26,12,2368,1,1
744,Meghalaya,Tura,25.514,90.202,78,26,16,1184,0,0
745,Sikkim,Mangan,27.5095,88.5362,38,63,33,1264,1,0
746,Sikkim,Gangtok,27.3389,88.6065,151,81,25,514,0,0
747,Sikkim,Gangtok,27.3389,88.6065,214,65,47,2986,0,0
748,Meghalaya,Shillong,25.5788,91.8933,16,52,31,1594,0,0
749,Sikkim,Gangtok,27.3389,88.6065,36,82,11,2820,0,0
750,Meghalaya,Tura,25.514,90.202,107,37,25,508,1,0
751,Meghalaya,Tura,25.514,90.202,79,50,15,1082,1,1
752,Meghalaya,Tura,25.514,90.202,10,65,15,2115,1,0
753,Meghalaya,Tura,25.514,90.202,35,23,38,151,0,0
754,Meghalaya,Tura,25.514,90.202,74,49,38,2244,0,1
755,Mizoram,Aizawl,23.7271,92.7176,111,74,6,322,0,1
756,Meghalaya,Shillong,25.5788,91.8933,14,57,39,2954,1,0
757,Mizoram,Aizawl,23.7271,92.7176,32,58,37,616,1,0
758,Sikkim,Gangtok,27.3389,88.6065,144,65,40,2295,0,1
759,Meghalaya,Shillong,25.5788,91.8933,48,60,50,1395,1,0
760,Sikkim,Gangtok,27.3389,88.6065,99,88,48,135,0,1
761,Nagaland,Kohima,25.6751,94.1086,93,22,16,1711,0,0
762,Mizoram,Aizawl,23.7271,92.7176,198,70,42,759,1,1
763,Meghalaya,Tura,25.514,90.202,22,33,20,1993,0,1
764,Sikkim,Mangan,27.5095,88.5362,158,23,5,1215,0,1
765,Sikkim,Gangtok,27.3389,88.6065,222,92,23,1326,0,1
766,Mizoram,Aizawl,23.7271,92.7176,83,88,5,1073,0,0
767,Meghalaya,Tura,25.514,90.202,244,66,33,2239,1,1
768,Nagaland,Kohima,25.6751,94.1086,53,25,20,2381,0,0
769,Nagaland,Kohima,25.6751,94.1086,162,55,23,1520,1,1
770,Sikkim,Gangtok,27.3389,88.6065,205,59,14,2835,1,1
771,Nagaland,Kohima,25.6751,94.1086,228,48,13,628,1,0
772,Mizoram,Aizawl,23.7271,92.7176,59,21,18,2798,0,0
773,Sikkim,Gangtok,27.3389,88.6065,129,92,29,389,1,0
774,Sikkim,Gangtok,27.3389,88.6065,232,34,6,872,0,1
775,Mizoram,Aizawl,23.7271,92.7176,215,48,18,2958,1,1
776,Sikkim,Gangtok,27.3389,88.6065,183,28,31,2447,1,0
777,Meghalaya,Tura,25.514,90.202,152,45,48,2027,1,1
